,COUNTA of Activity ID,Platform,,,,,,,,
,Main Brand,amazon_prime,instagram,netflix,standalone,tiktok,youtube_shorts,Grand Total,,
75,Pokémon GO,,,,3,4,,7,"instagram, standalone",GB
76,Pepcid,,3,,1,3,,7,"tiktok, standalone",GB
77,OGX,,,,1,6,,7,"tiktok, standalone","DE, GB"
78,Nexcare,,3,,1,3,,7,"instagram, tiktok, standalone",US
79,Neutrogena Collagen Bank,,3,,1,3,,7,"tiktok, standalone",US
80,Mozilla,,2,,3,2,,7,"tiktok, instagram, standalone",US
81,Metro by T-Mobile,,,,7,,,7,"instagram, tiktok, standalone",US
82,HelloFresh,,3,,1,3,,7,"tiktok, standalone, instagram",DE
83,Heineken,,6,,1,,,7,standalone,US
84,Google Pixel,,3,,4,,,7,"instagram, tiktok, standalone",GB
85,Google Bard,,2,,2,3,,7,"instagram, standalone","US, GB"
86,Firehouse Subs,,5,,1,1,,7,"instagram, standalone",GB
87,E.L.F Cosmetics,,,,2,5,,7,"tiktok, standalone, instagram",GB
88,De Beers Jewellers,,6,,1,,,7,"instagram, tiktok, standalone",US
89,Cricket Wireless,,4,,1,2,,7,"tiktok, standalone",US
90,Wayfair,,,,6,,,6,"instagram, standalone","US, GB"
91,Tu,,3,,1,2,,6,"tiktok, instagram, standalone",US
92,The United States,,,,6,,,6,standalone,"DE, GB"
93,Taster,,,,2,4,,6,"tiktok, instagram, standalone",GB
94,Phillips,,4,,2,,,6,standalone,"GB, AU, SG, US"
95,Microsoft Copilot,,2,,3,1,,6,"standalone, tiktok","GB, US"
96,MeAmora,,2,,2,2,,6,"instagram, standalone",GB
97,McDonald's,1,,,5,,,6,"instagram, standalone, tiktok",US
98,Malaysia,,,,6,,,6,"tiktok, standalone, instagram",GB
99,Lee Kum Kee,,3,,2,1,,6,"amazon_prime, standalone","US, AU"
100,Jet2 Holidays,,,,1,5,,6,standalone,"DE, SG"
101,J2O,,,,2,4,,6,"tiktok, standalone, instagram",GB
102,Hublot,,,,6,,,6,"tiktok, standalone",GB
103,Experian,,5,,1,,,6,"standalone, tiktok",GB
104,Every Man Jack,,,,1,5,,6,standalone,US
105,Disney,,3,,1,2,,6,"instagram, standalone",US
106,Billington's,,5,,1,,,6,"tiktok, standalone","US, CA"
107,Android,,,,2,4,,6,"tiktok, instagram, standalone",GB
108,Airbnb,,,,6,,,6,"instagram, standalone",GB
109,Zyrtec,,1,,1,3,,5,"standalone, tiktok",GB
110,Zappos,,4,,1,,,5,standalone,"AU, US"
111,Twitch,,,,5,,,5,"instagram, tiktok, standalone",US
112,Sure,,2,,1,2,,5,"instagram, standalone",US
113,Standard Chartered,,,,5,,,5,standalone,US
114,Soundcore,,,,1,4,,5,"instagram, tiktok, standalone",GB
115,Samsung,,,,5,,,5,standalone,"HK, IN"
116,Salmoiraghi & Viganò,,,,5,,,5,"tiktok, standalone",US
117,Philips Latte Go,,4,,1,,,5,standalone,"DE, IT"
118,Paco Rabanne,,2,,1,2,,5,standalone,IT
119,Nielsen-Massey,,4,,1,,,5,"instagram, standalone",GB
120,Kohls,,4,,1,,,5,"instagram, tiktok, standalone",GB
121,Intuit Turbo Tax,,,,5,,,5,"instagram, standalone",GB
122,Inch's Cider,,4,,1,,,5,"instagram, standalone",US
123,Hyundai,,,,5,,,5,standalone,US
124,Hitched,,4,,1,,,5,"instagram, standalone",GB
125,Herbal Essences,,,,1,4,,5,standalone,"IT, ES"
126,Grundig,,4,,1,,,5,"instagram, standalone",GB
127,Frontline,,4,,1,,,5,"tiktok, standalone",US
128,Firefox,,2,,1,2,,5,"instagram, standalone","IT, ES"
129,Eve Sleep,,4,,1,,,5,"instagram, standalone",US
130,eBay Refurbished,,4,,1,,,5,"tiktok, instagram, standalone",DE
131,Costa Coffee,,1,,2,2,,5,"instagram, standalone",GB
132,Copilot,,,,5,,,5,"instagram, standalone",US
133,Chivas Regal,,4,,1,,,5,"instagram, standalone, tiktok",GB
134,Captain Morgan,,4,,1,,,5,standalone,US
135,Bumble and bumble.,,,,1,4,,5,"instagram, standalone",AU
136,Bobbi Brown,,,,1,4,,5,"instagram, standalone",GB
137,Bang & Olufsen,,4,,1,,,5,"tiktok, standalone",US
138,Baileys Chocolate,,4,,1,,,5,"tiktok, standalone",US
,AWS,,,,5,,,5,"instagram, standalone","GB, DE, US"
,東芝,,,,4,,,4,"instagram, standalone",GB
,日本HP,,,,4,,,4,standalone,"AU, US"
,レッドブル,,,,4,,,4,standalone,JP
,リーバイス,,,,4,,,4,standalone,JP
,ヤマダ電機,,,,4,,,4,standalone,JP
,メイベリン ニューヨーク,,,,4,,,4,standalone,JP
,ミニ,,,,4,,,4,standalone,JP
,マイクロソフト サーフェス,,,,4,,,4,standalone,JP
,ホンダ,,,,4,,,4,standalone,JP
,ビビゴ,,,,4,,,4,standalone,JP
,ピッコマ,,,,4,,,4,standalone,JP
,はごろも CarbOFF,,,,4,,,4,standalone,JP
,ナノックス,,,,4,,,4,standalone,JP
,デル・テクノロジーズ,,,,4,,,4,standalone,JP
,ディオール,,,,4,,,4,standalone,JP
,ダイソン,,,,4,,,4,standalone,JP
,スバル,,,,4,,,4,standalone,JP
,スズキ,,,,4,,,4,standalone,JP
,シェラトンホテル,,,,4,,,4,standalone,JP
,グランドセイコー,,,,4,,,4,standalone,JP
,エアビーアンドビー,,,,4,,,4,standalone,JP
